SMILES,res_fitness
CCCNc1ccc(-c2cc(N)cc(-c3ccc(N)c(Oc4cc(-c5ccccc5-c5ccc(N)cc5)ccc4N)c3)c2NCc2cc(N)cc(C)c2Oc2c3cccc2-3)c(-c2ccccc2-c2ccccc2N)c1N,495.6814711038997
CNNc1ccccc1-c1ccccc1-c1c(-c2ccccc2Nc2ccc3cc2-3)cccc1-c1c(N)cccc1-c1ccc(N)c(Oc2cc(-c3cc(N)ccc3-c3ccc4c(c3)-c3cc-4ccc3N)ccc2N)c1,495.2650101936226
CCNNc1ccccc1-c1ccccc1-c1c(-c2ccccc2Nc2ccc3cc2-3)cccc1-c1c(N)cccc1-c1ccc(N)c2c1Nc1ccc(-c3cc(N)ccc3-c3ccc4c(c3)-c3cccc-4c3)cc1O2,495.0522803243959
CCCNc1ccc(-c2cc(N)cc(-c3ccc(N)c(Oc4cc(-c5ccccc5-c5ccc(N)cc5)ccc4N)c3)c2NCc2cccc(C)c2Oc2c3cccc2-3)c(-c2ccccc2-c2c(N)cccc2N)c1N,494.6816039172619
CCNNc1ccccc1-c1ccccc1-c1c(-c2ccccc2)cccc1-c1c(N)cccc1-c1ccc(N)c(Oc2cc(-c3cc(N)ccc3-c3ccc4c(c3)-c3cccc-4c3)ccc2N)c1NNc1ccc2cc1-2,494.3206282270498
C#CCCc1cccc(C)c1Oc1cccc2c1[nH]c1c3c(ccc1[nH]c1c(-c4ccc(-c5ccc(N)cc5)cc4N)cc(N)cc12)-c1c(N)ccc-3c1Nc1ccc(Nc2ccc(Nc3ccc4cc3-4)cc2)cc1,494.31765770663094
C=CCNNc1cc(-c2ccc(-c3ccc(N)c(Nc4cccc5c4N5)c3)cc2)c2[nH]c3ccc(-c4c(N)cccc4N)cc3[nH]c3ccccc3c2c1Nc1c(ONc2ccccc2)cccc1-c1ccccc1N,493.6882695010438
CNNc1ccccc1-c1ccccc1-c1c(-c2c(N)cccc2-c2ccc(N)c(Oc3cccc(-c4cc(N)ccc4-c4ccc5c(c4)-c4cc-5ccc4N)c3)c2)ccc(N)c1-c1ccccc1Nc1ccc2cc1-2,493.57258062422875
CNc1ccc(N)c(-c2c3cc(N)c(Oc4cc(-c5cccc(N)c5-c5ccccc5)ccc4Nc4c5ccc(N)c4-c4ccc(Nc6cc(ONc7cccc(N)c7-c7ccccc7N)ccc6N)cc4-5)c2-3)c1,493.46604465643065
CCCNc1ccc2c(-c3ccccc3-c3c(N)cccc3N)c1NNc1c(N)cc(-c3ccc(N)c(Oc4cc(-c5ccccc5-c5ccc(N)cc5)ccc4N)c3)c(NCc3ccccc3Oc3c4cccc3-4)c1-2,492.15215991122477
